suite,case,ORDER,DISK_SIZE,AMORTIZED,N,SEED,LOOKAHEAD_SIZE,PROG_SIZE,READ_SIZE,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_btree,bench_btree_lookup,0,1073741824,0,203,1,32768,1,1,4096,10839,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,205,1,32768,1,1,4096,11243,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,209,1,32768,1,1,4096,12036,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,198,1,32768,1,1,4096,9724,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,201,1,32768,1,1,4096,10151,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,216,1,32768,1,1,4096,7356,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,200,1,32768,1,1,4096,13692,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,208,1,32768,1,1,4096,11768,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,211,1,32768,1,1,4096,12252,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,230,1,32768,1,1,4096,10203,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,214,1,32768,1,1,4096,7033,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,207,1,32768,1,1,4096,11569,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,215,1,32768,1,1,4096,7109,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,217,1,32768,1,1,4096,11067,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,221,1,32768,1,1,4096,8504,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,210,1,32768,1,1,4096,12131,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,213,1,32768,1,1,4096,12776,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,228,1,32768,1,1,4096,9744,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,212,1,32768,1,1,4096,12563,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,220,1,32768,1,1,4096,7337,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,223,1,32768,1,1,4096,8839,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,242,1,32768,1,1,4096,12716,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,226,1,32768,1,1,4096,9340,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,219,1,32768,1,1,4096,8148,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,227,1,32768,1,1,4096,9449,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,229,1,32768,1,1,4096,9926,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,233,1,32768,1,1,4096,10752,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,222,1,32768,1,1,4096,8609,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,225,1,32768,1,1,4096,9171,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,240,1,32768,1,1,4096,12284,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,224,1,32768,1,1,4096,8950,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,232,1,32768,1,1,4096,10539,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,235,1,32768,1,1,4096,11163,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,254,1,32768,1,1,4096,9831,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,238,1,32768,1,1,4096,11945,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,231,1,32768,1,1,4096,10180,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,239,1,32768,1,1,4096,12112,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,241,1,32768,1,1,4096,12379,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,245,1,32768,1,1,4096,7638,0,0
